segment,customers,revenue,mean_monetary,mean_recency,mean_frequency,pct_customers,pct_revenue
Champions,960,313710.96,326.78225000000003,94.22708333333334,2.1947916666666667,1.0106326981787557,2.324749101826362
Loyal,894,178728.44,199.9199552572707,181.80648769574944,2.068232662192394,0.9411517001789662,1.3244637049366297
Lapsed Repeat,1034,258057.02,249.57158607350095,387.95938104448743,2.0783365570599615,1.0885356353300348,1.9123266380778903
High-Value New,14731,3946893.41,267.9311255176159,96.94250220623175,1.0,15.507948205074218,29.248378538964296
Low-Value New,22023,1225365.69,55.6402710802343,94.64818598737683,1.0,23.184545741657015,9.080549137449136
High-Value Lapsing,14003,3891587.33,277.9109712204528,400.642505177462,1.0,14.741551742288662,28.838533885129007
Hibernating,15519,620747.73,39.99920935627296,401.72710870545785,1.0,16.33750921149595,4.6000392456108425
Needs Attention,25826,3059310.16,118.45853635870829,275.4557809958956,1.0,27.1881250657964,22.67095974800582
