static,max_z,multi_0.05,multi_margin_0.05,uni_0.05,uni_margin_0.05,multi_0.1,multi_margin_0.1,uni_0.1,uni_margin_0.1,multi_0.15,multi_margin_0.15,uni_0.15,uni_margin_0.15,seed,feature,date,split,label,kind
False,1.483918272562363,False,-0.08860016212406024,False,-0.07044559762744296,False,-0.06714198943344957,True,0.01729976186906923,False,-0.04847954145837802,True,0.05825520641803961,0,raw,2017-06-01,val,False,
False,1.0553576849156425,False,-0.1252812498665949,False,-0.08583182946947765,False,-0.11011361389761104,False,-0.048456690019850535,False,-0.08815871228065536,False,-0.019665890022839305,0,raw,2017-06-02,val,False,
False,1.242632238333614,False,-0.10451761131136961,False,-0.11155689389084533,False,-0.08674184936336682,False,-0.04957139112425646,False,-0.05914857519697492,False,-0.002302404648813372,0,raw,2017-06-03,val,False,
False,2.8706996822303052,True,0.017029308926442055,False,0.0,True,0.037573627837362844,True,0.07819913619001562,True,0.058883918293965,True,0.10633437395001322,0,raw,2017-06-04,val,True,revenue_spike
False,2.647735968912092,True,0.061324369458312766,True,0.0738593043810356,True,0.0879265231039027,True,0.10674978838827298,True,0.11119820162399074,True,0.1462845350735399,0,raw,2017-06-05,val,False,
False,2.1447618428117035,False,-0.027820307803816502,True,0.1245697206686488,False,-0.013148649033522974,True,0.13849464573411274,True,0.011299736160795826,True,0.15873206346390145,0,raw,2017-06-06,val,False,
False,1.7365462726187393,False,-0.07221039391471701,True,0.061651749714199955,False,-0.0628334892399664,True,0.14551938857396096,False,-0.03942936244649414,True,0.17573287780545155,0,raw,2017-06-07,val,False,
False,1.8532621095180803,False,-0.06755062873888507,True,0.024276793012893094,False,-0.04757838036326434,True,0.10400659371993648,False,-0.032880710651831735,True,0.12922924930143043,0,raw,2017-06-08,val,False,
False,1.5682873093244034,False,-0.04203426666014154,False,-0.05408552834632274,False,-0.02391264756520106,True,0.03311663912002538,False,-0.007974921978265104,True,0.05291045016539886,0,raw,2017-06-09,val,True,revenue_spike
False,1.9295496710920192,False,-0.025369094533756797,True,0.0446433039380989,False,-0.01264671909259929,True,0.12896930014609653,True,0.0029764763799848826,True,0.1385776814413452,0,raw,2017-06-10,val,False,
False,1.8560730470382751,False,-0.00836277098513305,True,0.054807208279625375,False,-0.002525144295786763,True,0.12966921471334736,True,0.014042995584626183,True,0.1542169297763598,0,raw,2017-06-11,val,False,
False,1.7630927416101898,False,-0.07713709602339985,False,-0.02925347945601786,False,-0.07159096180671404,False,-0.015564292149111592,False,-0.05836307797548562,True,0.007285866550152953,0,raw,2017-06-12,val,False,
False,0.9405258398932996,False,-0.11648135416237448,False,-0.1563713116673514,False,-0.10703023370520304,False,-0.0898693230978217,False,-0.09282765076360622,False,-0.06600207563508087,0,raw,2017-06-13,val,False,
False,1.186662142197932,False,-0.13836518869598102,False,-0.12848608020891628,False,-0.12429542475968325,False,-0.029771502112226567,False,-0.11498706537824877,False,-0.014891508078925808,0,raw,2017-06-14,val,False,
False,0.9964778247939264,False,-0.12723460373874357,False,-0.13118949711252403,False,-0.10925206420162054,False,-0.07303965866195072,False,-0.09723096559015226,False,-0.06041329678073559,0,raw,2017-06-15,val,False,
False,1.3701625986779364,False,-0.08338941758199842,False,-0.054474903036931366,False,-0.06458468110628351,False,-0.020315612997644727,False,-0.054750549564287654,False,-0.013477060827435494,0,raw,2017-06-16,val,True,revenue_spike
False,1.5592695347996208,False,-0.048872344774957055,False,-0.05646610494851512,False,-0.03281792860748167,False,-0.019213873120688785,False,-0.02234598682406508,False,-0.003330952764409423,0,raw,2017-06-17,val,False,
False,1.5043734869792516,False,-0.041249208311069596,False,-0.03965877484420943,False,-0.028303746642240557,True,0.0015150855254389972,False,-0.012386808693268359,True,0.018942753014452696,0,raw,2017-06-18,val,False,
False,1.860324827952295,True,0.017098709583480587,True,0.03310612285606529,True,0.03240504179386183,True,0.12041927407653141,True,0.050347256833618736,True,0.12627827550189052,0,raw,2017-06-19,val,False,
